text,time_period,language,source,author
மகாமகோபாத்தியாயடாக்டர் உ.வே. சாமிநாதையர் நூல் நிலையம்பெஸன்ட் நகர் — சென்னை-901990,1895,ta,wiki,என்
Deutsch|English|français|हिन्दी|বাংলা|italiano|日本語|македонски|മലയാളം|मराठी|Nederlands|português do Brasil|தமிழ்|اردو|ತುಳು|ಕನ್ನಡ|+/−,1895,ta,wiki,என்
"இந்த ஆக்கத்துடன் தொடர்புடையவர்கள், உலகளளாவிய பொதுப் பயன்பாட்டுக்கு என பதிப்புரிமைச் சட்டத்துக்கு உட்பட்டு, தங்கள் அனைத்துப் பதிப்புரிமைகளையும் விடுவித்துள்ளனர்.",1915,ta,wiki,கப்பலோட்டிய
நீங்கள் இவ்வாக்கத்தைப் படியெடுக்கலாம்; மேம்படுத்தலாம்; பகிரலாம்; வேறு வடிவமாக மாற்றலாம்; வணிகப் பயன்களும் அடையலாம். இவற்றுக்கு நீங்கள் ஒப்புதல் ஏதும் கோரத் தேவையில்லை.,1915,ta,wiki,கப்பலோட்டிய
This is a human readable summary of the legal code found athttps://creativecommons.org/publicdomain/zero/1.0/legalcode,1915,ta,wiki,கப்பலோட்டிய
"The person who associated a work with this deed hasdedicatedthe work to the public domain by waiving all of his or her rights to the work worldwide under copyright law including all related and neighboring rights, to the extent allowed by law.",1915,ta,wiki,கப்பலோட்டிய
(https://ta.wikisource.org) and Tamil Virtual Academy (http://tamilvu.org). More details about this collaboration can be found athttps://ta.wikisource.org/s/4kx.,1915,ta,wiki,கப்பலோட்டிய
"□ KAPPALOTTYA TAMZHAN. V.O.CHIDAMBARAM □  By : N.V. KALAIMANI □ First Edition: December 2001 □ Price: Rs.28.00 □ © SHANTHI NILAYAM □ Published By : SHANTHI NILAYAM, 126/108, Usman Road, T.Nagar, Chennai - 17 □ G. Pinted at : Sivakami Printo Graphics, 160/il 7, Big Street, Triplicane, Chennai-600 005, □ 8445051 □",1915,ta,wiki,கப்பலோட்டிய
"சீரெல்லாம் நிறைந்துவிளங்கும் செந்தமிழ் நூல்களிற் சிறந்தது, “திருக்குறள்” என்று வழங்கும்வள்ளுவர் நூல். “தருமர் மணக்குடவர் தாமத்தர் நச்சர், பரிமே லழகர் பருதி-திருமலையர், மல்லர் கவிப்பெருமாள் காளிங்கர்வள்ளுவர் நூற், கெல்லை உரையெழுதினோர்.” அப்பதின்மர் உரைகளில் தற்காலம் தமிழ்நாட்டில் பயின்று வழங்குவது பரிமேலழகருரை ஒன்றே. அவ்வுரையைச் சிலவருடங்களுக்கு முன்னர் யான் படிக்கத் தொடங்கினேன். அப்பொழுது மற்றைய ஒன்பதின்மர் உரைகளையும் பார்க்க வேண்டு மென்னும் அவா எனக்கு உண்டாயிற்று. அது முதல், தமிழ் நூல்கள் இருக்கும் இடங்களில் அவற்றைத் தேடவும் தேடுவிக்கவும் முயன்றேன்.",1915,ta,wiki,திருக்குறள்
"அம்முயற்சியின் பயனாக எனக்குக் கிடைத்தவற்றில் மணக்குடவ ருரைப்பிரதி ஒன்று. அது வள்ளுவர் கருத்துக்களைத் தெள்ளென விளக்குவதாகவும், இனிய செந்தமிழ்நடையில் எழுதப்பெற்றதாகவும் தோன்றிற்று. அதுபற்றி, யான் அதனை அச்சிட்டு வெளிப்படுத்தக் கருதிச் சென்னை அரசாட்சியாரது கையெழுத்துப் புத்தகசாலையிலுள்ள மணக்குடவ ருரைப்பிரதியோடு ஒத்துப்பார்த்தேன். அரசாட்சிப் புத்தகசாலைப்பிரதியில் அதிகாரப் பெயரும் முறையும் பரிமேலழகருரையைப் பின்பற்றி​யிருக்கின்றன. அன்றியும், அதில் சில குறள்களின் மூலமும் உரையும் சிதைந்தும் குறைந்து மிருக்கின்றன.",1915,ta,wiki,திருக்குறள்
"பின்னர், மஹாமஹோபாத்தியாயர் மகா-௱-எ-ஸ்ரீ, உ. வே. சாமிநாதையரவர்களிடத்துள்ள மணக்குடவருரைப்பிரதியைத் தருவித்துப் பார்த்தேன். அது, மேற்கூறிய அரசாட்சிப் புத்தகசாலைப் பிரதியினின்று பிரதி செய்யப்பட்டதாகத் தெரிந்தது. ஆயினும், அதனையும் ஸ்ரீ. சகஜாநந்த சுவாமி யவர்களையும் துணையாகக் கொண்டு, எனது பிரதியில் ஸ்ருஷ்டி, ஸ்திதி ஸம்ஹாரம் என்னும் மூன்றையும் புரிந்து மணக்குடவருரையை ஒருவாறு பூரணமாக்கி அச்சிற்குக் கொடுத்தேன்.",1915,ta,wiki,திருக்குறள்
"அஃது அச்சாகிவருங்காலையில் சென்னைப் பச்சையப்பன் கல்லூரி சுதேசபாஷா அத்தியகஷகர் ஸ்ரீமான் தி. செல்லகேசவராய முதலியாரவர்களும், சென்னைக் கிரிஸ்டியன் கல்லூரி சுதேசபாஷா அத்தியகஷகர் ஸ்ரீமான் த. கனக சுந்தரம் பிள்ளையவர்களும் அதனைப் பலமுறை பார்த்துச் சீர்படுத்தித் தந்தார்கள். அவர்களது அவ்வுதவியாலும், தென்னாபிரிக்காவிலுள்ள இந்திய சகோதரர்களது பொருளுதவியாலும்,அறத்துப்பால்அச்சாகி முடிந்து இப்புத்தக வடிவமாக வெளிவருகின்றது.",1915,ta,wiki,திருக்குறள்
"மணக்குடவரும் பரிமேலழகரும் அதிகார முறையிற் சிறிதும் குறட்பாக்களின் முறையில் பெரிதும் வேறுபட்டிருப்பதோடு, பல குறள்களில் வெவ்வேறு பாடங்கள் கொண்டும், பலபல குறள்களுக்கு வெவ்வேறு பொருள்​கள் உரைத்து முள்ளனர். இவ்வேற்றுமைகளைக் காண்பார் திருக்குறளின் பெருமையையும் அதன் மூலபாடங்கள் வேறுபட்டுள்ள தன்மையையும் நன்கு அறிவதோடு, குறள்களுக்கு இருவரும் உரைத்துள்ள பொருள்களைச் சீர் தூக்கிப்பார்க்கவும் புதியபொருள்கள் உரைக்கவும் முயலுவர். அவர் அவ்வாறு செய்யவேண்டு மென்னும் விருப்பமே, யான் இவ்வுரையை அச்சிடத் துணிந்ததற்கு முக்கிய காரணம்.",1915,ta,wiki,திருக்குறள்
ஆண்பாலாரும் பெண்பாலாருமான வித்தியார்த்திகள் இந்நூலை எளிதில் கற்குமாறு இதன் மூலத்தையும் உரையையும் மணக்குடவர் கருத்திற்கு இயைந்தபடி சந்தி பிரித்துப் பதிப்பித்துள்ளேன். உரையில் யான் சேர்த்த எனது சொந்தச்சரக்குகளை [ ] இவ்வித இணைப்பகக் குறிக்களுக்குள் அமைத்துள்ளேன். இப்பதிப்புரையின் பின்னர் அறத்துப்பாலின் அதிகார அட்டவணை யொன்று சேர்த்துள்ளேன். குறள்களின் முதற் குறிப்பகராதி முதலியன நூலின் முடிவில் சேர்க்கப்படும்.,1915,ta,wiki,திருக்குறள்
"இந்நூலை யான் அச்சிடுதல் சம்பந்தமாக மஹா மஹோபாத்தியாயர் மகா-௱-௱-ஸ்ரீ. உ. வே. சாமிநாதையரவர்களும், ஸ்ரீ. சகஜாநந்த சுவாமியவர்களும், ஸ்ரீமான் தி. செல்வகேசவராய முதலியாரவர்களும், ஸ்ரீமான் த. கனகசுந்தரம் பிள்ளையவர்களும், தென் ஆபிரிக்காவிலுள்ள இந்தியசகோதரர்களும் எனக்குச் செய்த மேற்குறித்த நன்றிகள் “காலத்தினாற் செய்த”வையும்​“எழுமை எழுபிறப்பும்” உள்ளத்தக்கவையுமாகும்.",1915,ta,wiki,திருக்குறள்
"இந்நூலின் ஒவ்வொரு பாலும் அச்சாகி முடித்தவுடன் வெளிவருதல் நலமென்று எனக்கு இப்பொழுது தோன்றுவதனால், இன்றுவரையில் அச்சாகி முடிந்திருக்கிறஅறத்துப்பாலைஇப்பொழுது வெளியிடுகின்றேன்.பொருட்பாலும் காமத்துப்பாலும்விரைவில் அச்சாகி வெளிவரும்.",1915,ta,wiki,திருக்குறள்
"இந்நூலை யான் அச்சிடத் தொடங்கிய பின்னர்க் காகிதத்தின் விலை மிக ஏறிவிட்டதால், இதற்கு முன் குறித்த விலை ரூபா இரண்டை ரூபா மூன்றாக ஏற்றி, அதனை அறத்துப்பாலுக்கு ரூபா 1-0-0ம், பொருட்பாலுக்கு ரூபா 1-1-0ம், காமத்துப்பாலுக்கு 0-12-0 மாக விதானம் செய்துள்ளேன்.",1915,ta,wiki,திருக்குறள்
"திருவள்ளுவர் திருக்குறளைக் கற்கும் ஒவ்வொருவரும், தத்தமக்குக் கிடைக்கும் உரைகளைத் துணையாக வைத்துக்கொண்டு, குறள்களின் பொருள்களைத் தாமே ஆராயவேண்டு மென்பது என் விருப்பம். பரிமேலழகருரையையும் அதன் வழிவந்த உரைகளையும் தவிர வேறு உரைகளை யாரேனும் காண்பாராயின், அவ்விவரத்தை எனக்குத் தெரிவிக்குமாறு அவர்களை வேண்டிக்கொள்ளுகிறேன்.",1915,ta,wiki,திருக்குறள்
"""லட்சுமணா! ஏன் வேணுவைப் பற்றிப் பேசும் பொழுது எல்லாம், அந்த முட்டாள் வேணு என்று சொல்லுகிறார்கள்!"" என்று கேட்டேன்.",1935,ta,wiki,அந்த
