decade,event,anger,contempt,disgust,fear,frustration,gratitude,joy,love,neutral,sadness,surprise
1810,Industrial Revolution,0.25,0.15,0.25,0.35,0.35,0.35,0.3,0.2,0.3,0.25,0.3
1820,Industrial Growth,0.2,0.2,0.2,0.3,0.3,0.3,0.35,0.25,0.25,0.3,0.2
1830,Reform Movements,0.2,0.25,0.2,0.25,0.3,0.4,0.35,0.3,0.3,0.3,0.25
1840,Victorian Era,0.15,0.15,0.15,0.2,0.2,0.5,0.45,0.3,0.4,0.15,0.15
1850,Crimean War,0.45,0.25,0.3,0.45,0.45,0.2,0.15,0.15,0.25,0.4,0.3
1860,Civil War,0.65,0.35,0.35,0.55,0.55,0.2,0.15,0.2,0.2,0.5,0.45
1870,Reconstruction,0.35,0.35,0.25,0.3,0.4,0.3,0.25,0.25,0.35,0.35,0.25
1880,Gilded Age,0.25,0.25,0.25,0.25,0.35,0.3,0.35,0.25,0.4,0.25,0.25
1890,Progressive Era,0.25,0.25,0.25,0.25,0.35,0.45,0.35,0.35,0.35,0.2,0.25
1900,Turn of Century,0.25,0.2,0.2,0.25,0.25,0.35,0.35,0.25,0.4,0.2,0.2
1910,World War I,0.55,0.25,0.35,0.55,0.55,0.2,0.15,0.25,0.2,0.45,0.45
1920,Roaring Twenties,0.15,0.15,0.15,0.15,0.25,0.45,0.6,0.35,0.45,0.15,0.2
1930,Great Depression,0.35,0.25,0.25,0.55,0.55,0.15,0.15,0.15,0.25,0.55,0.25
1940,World War II,0.55,0.25,0.35,0.55,0.45,0.3,0.25,0.3,0.2,0.45,0.45
1950,Post-War Era,0.15,0.15,0.15,0.15,0.25,0.55,0.55,0.45,0.35,0.15,0.2
1960,Civil Rights,0.45,0.35,0.25,0.35,0.45,0.45,0.45,0.45,0.3,0.25,0.35
