decade,event,anger,contempt,disgust,fear,frustration,gratitude,joy,love,neutral,sadness,surprise
1810,Cholera Pandemic,0.15,0.1,0.55,0.85,0.45,0.05,0.05,0.05,0.15,0.85,0.25
1820,Christian Missions,0.25,0.25,0.35,0.25,0.25,0.3,0.35,0.45,0.4,0.25,0.3
1830,Collectorate,0.25,0.25,0.25,0.35,0.35,0.2,0.25,0.15,0.4,0.25,0.2
1840,Tirunelveli Riots,0.75,0.55,0.45,0.50,0.70,0.10,0.10,0.10,0.20,0.40,0.35
1850,Madras Railway,0.10,0.10,0.05,0.15,0.10,0.65,0.85,0.20,0.30,0.05,0.80
1860,British Rule,0.35,0.35,0.25,0.35,0.45,0.2,0.25,0.15,0.4,0.35,0.25
1870,Great Famine,0.45,0.15,0.35,0.85,0.75,0.1,0.05,0.1,0.1,0.9,0.25
1880,Legal Courts,0.15,0.2,0.15,0.25,0.25,0.4,0.35,0.25,0.5,0.15,0.2
1890,Plague Outbreak,0.35,0.15,0.65,0.85,0.45,0.1,0.1,0.1,0.2,0.65,0.25
1900,Temple Entry,0.55,0.25,0.25,0.35,0.45,0.4,0.35,0.4,0.3,0.3,0.3
1910,Home Rule,0.45,0.25,0.2,0.35,0.35,0.5,0.45,0.45,0.3,0.25,0.3
1915,WWI Recruitment,0.45,0.25,0.25,0.55,0.45,0.2,0.15,0.2,0.3,0.45,0.35
1920,Non-Brahman,0.55,0.35,0.25,0.35,0.45,0.4,0.45,0.45,0.3,0.25,0.3
1930,Anti-Hindi,0.65,0.35,0.25,0.35,0.55,0.25,0.25,0.25,0.3,0.35,0.3
1940,Quit India,0.55,0.25,0.25,0.45,0.45,0.4,0.3,0.4,0.25,0.4,0.45
1950,State Formation,0.2,0.15,0.15,0.2,0.2,0.7,0.75,0.65,0.3,0.2,0.45
1960,State Crisis,0.55,0.35,0.25,0.45,0.55,0.25,0.25,0.25,0.35,0.45,0.3
